countrycode,country,year,pop,rgdpna,delta,xr,csh_c,csh_i,csh_g,csh_x,csh_m,csh_r,rgdpna_per_cap,emp_percent,co2_emission,employment_agro,employment_industry,employment_services,export,import,inflation,net_migration,population_15_64,population_above_65,population_under_14,unemployment,urban_population,hdi
ALB,Albania,1990,3.286073,15105.7080078125,0.0291608776897192,7.562970081099616,0.8569525480270386,0.1060549318790435,0.1495013982057571,0.0420107953250408,-0.0395184755325317,-0.1150011643767356,4596.887533482214,40.29363322870854,1.84084061606394,57.9099998474121,11.5799999237061,30.5100002288818,15.4050638293415,24.0318995737727,-0.431368813098928,-443212.0,61.7303389182164,5.49497835258072,32.7746827292029,16.22,36.428,0.65
ALB,Albania,1991,3.280395,10875.7861328125,0.0286440346390008,9.913646890280347,0.8306472301483154,0.0247679501771926,0.251147449016571,0.0482349097728729,-0.0983721539378166,-0.0564253665506839,3315.3891933174204,40.16170865776832,1.25811576501704,57.9099998474121,11.5799999237061,30.5100002288818,7.48481872467814,28.5857013386048,35.5142469578391,-443212.0,61.4569891735599,5.64877095593671,32.8942398705034,16.22,36.7,0.631
ALB,Albania,1992,3.245886,10094.130859375,0.0278286673128604,32.275395949523606,1.1498521566390991,0.0196409132331609,0.2521753311157226,0.0532677918672561,-0.2428010702133178,-0.2321351766586303,3109.822975722191,32.42621981636924,0.689859284104687,58.1100006103516,11.4499998092651,30.4400005340576,12.4995914932505,96.2858807479086,232.984658871868,-443212.0,61.2324955343472,5.82749979512528,32.9400046705276,16.33,37.249,0.615
ALB,Albania,1993,3.195199,11059.0703125,0.0272290483117103,71.14409735173915,0.9936733245849608,0.054909024387598,0.1969702839851379,0.0355548374354839,-0.1722632646560669,-0.1088441610336303,3461.1522826903742,31.03572964230156,0.641405614065312,57.6199989318848,11.6300001144409,30.75,15.9788298133865,64.5395029570264,125.650814200424,-390490.8,61.0713135551182,6.02591575673378,32.9027706881481,16.52,37.799,0.618
ALB,Albania,1994,3.146519,11977.291015625,0.0269682668149471,94.62333333333332,0.859124481678009,0.0774241909384727,0.2086485773324966,0.0286668576300144,-0.1110534742474556,-0.0628106147050857,3806.521116073032,33.97020291578923,0.667178793940271,57.0800018310547,11.789999961853,31.1299991607666,11.983694347693,41.1188903879182,35.8424752156681,-337769.6,60.9469067245423,6.23059959275631,32.8224936827014,16.57,38.354,0.624
ALB,Albania,1995,3.112936,13572.9453125,0.0268133636564016,92.6975,0.8370290398597717,0.0768332332372665,0.207663431763649,0.0347440280020237,-0.1337285488843917,-0.0225411765277385,4360.17486787393,32.78144024752293,0.611710203702635,56.3600006103516,12.0299997329712,31.6100006103516,12.6408294970517,34.9697653759195,9.97066268022495,-285048.4,60.8253108962086,6.43248046217462,32.7422086416168,16.57,38.911,0.637
ALB,Albania,1996,3.0987,14808.318359375,0.0267783850431442,104.49891666666667,0.8607513308525085,0.0907027721405029,0.2168764322996139,0.0310031678527593,-0.1470695883035659,-0.0522641465067863,4778.880936965502,31.6896142989448,0.621836956875134,55.939998626709,11.7299995422363,32.3400001525879,11.6204393760685,33.2749998482171,38.1721119122412,-232327.2,61.2176073837416,6.56378481298609,32.2186078032723,16.57,39.473,0.646
ALB,Albania,1997,3.099752,13203.4150390625,0.0266824066638946,148.93291666666667,0.7537410259246826,0.0714798122644424,0.3686225414276123,0.0225206296890974,-0.1097566112875938,-0.1066073700785636,4259.50690218524,31.24726418604703,0.470097808931287,56.060001373291,11.6300001144409,32.310001373291,10.1972617518115,35.2283310149598,11.2396818167848,-179606.0,61.5670543966098,6.68259912405896,31.7503464793312,16.55,40.035,0.645
ALB,Albania,1998,3.110682,14369.1904296875,0.0265320818871259,150.63333333333333,0.6897594928741455,0.0806355476379394,0.4346675872802734,0.0335969477891922,-0.1463938504457473,-0.0922656953334808,4619.305486606314,30.730945018382776,0.575350084544499,55.25,11.7200002670288,33.0400009155273,11.4671124664384,36.6702827224881,6.73024515556058,-179039.6,61.8880039811205,6.79748042390704,31.3145155949724,16.55,40.601,0.655
ALB,Albania,1999,3.122697,16221.4814453125,0.0266101267188787,137.69058333333334,0.6592446565628052,0.1022744253277778,0.3819550275802612,0.053523726761341,-0.1890812665224075,-0.0079165548086166,5194.70235034411,30.40530964237979,0.955359308384195,54.0299987792969,12.1700000762939,33.7999992370605,16.841765359846,34.1693357010258,2.10347859903513,-178473.2,62.2227196554773,6.92084438547832,30.8564359590444,16.62,41.169,0.665
ALB,Albania,2000,3.129243,17348.265625,0.0267918799072504,143.70941666666667,0.6679871082305908,0.1483617126941681,0.3300253450870514,0.0389227382838726,-0.1793698072433471,-0.0059271152131259,5543.917690316795,30.773175984962357,1.026213108529,52.8199996948242,12.8100004196167,34.3699989318848,20.1153637600108,43.3388742463348,5.6437820728261,-177906.8,62.608145164821,7.05816071171207,30.3336941234669,16.58,41.741,0.671
ALB,Albania,2001,3.129704,18787.0078125,0.0270093455910682,143.48483333333334,0.6617808938026428,0.1892492473125457,0.3188935816287994,0.0445511564612388,-0.2200255990028381,0.0055507221259176,6002.806595288245,31.350768977315624,1.0522280929869,51.310001373291,13.6700000762939,35.0200004577637,21.3334375486568,45.1576071302733,3.81393291822263,-177340.4,63.0173652204809,7.31458949472538,29.6680452847937,16.54,42.435,0.678
ALB,Albania,2002,3.126187,19639.29296875,0.0271038133651018,140.15451587500002,0.6860929727554321,0.2126343846321106,0.3011050522327423,0.0453238226473331,-0.2402972280979156,-0.0048589510843157,6282.187523890926,31.639480854148022,1.22910118288698,50.1599998474121,14.460000038147,35.3800010681152,20.9456511360868,47.5794801481102,3.64414991674873,-176774.0,63.4747697434606,7.59225215893995,28.9329780975994,16.61,43.501,0.684
ALB,Albania,2003,3.118023,20725.078125,0.0271355230361223,121.86325,0.7153279781341553,0.2343156337738037,0.2711554765701294,0.0533423013985157,-0.2557216286659241,-0.0184197220951318,6646.865056800415,32.14285029683164,1.35214448140818,49.2700004577637,14.8100004196167,35.9199981689453,20.8474513850141,46.1731851587618,5.19710539886991,-184890.8,63.9726839731458,7.88714515576056,28.1401708710936,16.61,44.573,0.691
ALB,Albania,2004,3.104892,21868.0234375,0.0271770227700471,102.78005119617224,0.7135186791419983,0.2747897505760193,0.2600712776184082,0.0653278082609176,-0.2881177961826324,-0.0255897156894207,7043.086663722925,32.57100740855973,1.41727335767255,48.3400001525879,15.2299995422363,36.4300003051758,22.2175512676614,44.8295956019039,3.15694393888282,-193007.6,64.4856246207598,8.19117057855797,27.3232048006823,16.52,45.651,0.696
