"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9618424448354","24.0344808063016","24.2203825818479","24.384778423278","24.6094566623894","24.8980453125711","25.0583893032158","25.2100285833977","25.4131839031589","25.2909814333322","25.2534096870177","25.1569821596905","25.2071701087036","25.4843957063002","25.4990476306441","25.987764747423","26.4111456628164","26.8860275343515","27.1803401095337","27.4913127115025","27.9522575688707","28.5634136145085","28.8228062834601","29.3561431097272","29.7446474337424","30.114854254694","30.5279764293774","30.9711623770019","31.378322828954","",
"Afghanistan","AFG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.1399993896484","24.1399993896484","24.0300006866455","24.0799999237061","24.1900005340576","24.2399997711182","24.3299999237061","24.4599990844727","24.5900001525879","24.6800003051758","24.7199993133545","25.5900001525879","25.9500007629395","26.1200008392334","26.5300006866455","26.9300003051758","27.6599998474121","28.2299995422363","29.4799995422363","30.7700004577637","31.6900005340576","32.8300018310547","33.8499984741211","34.8199996948242","35.7599983215332","36.8699989318848","37.9900016784668","38.4099998474121","38.9599990844727","",
"Africa Western and Central","AFW","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0485138870848","29.2165739093164","29.3160845737578","29.4713066523797","29.7261679668695","30.0811835561541","30.4470633712812","30.866507496948","31.2406266764123","31.6908862238986","32.2536426398775","33.0203692560875","33.6346227241609","34.3537644520467","35.0860603768554","35.7815638150747","36.5922687957694","37.4813350685748","38.3353549978342","39.2812806653224","40.1342363992329","40.7251227792776","41.2511832109645","42.1675063320781","43.0940312522191","43.4323645690847","44.0520601643075","44.7721958887512","45.4162603761151","",
"Angola","AGO","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2999992370605","51.3400001525879","51.1300010681152","51.3499984741211","51.9500007629395","52.560001373291","53","53.3400001525879","53.6399993896484","53.9300003051758","54.1199989318848","54.6599998474121","54.6199989318848","54.7400016784668","53.0499992370605","51.2099990844727","49.4700012207031","47.6300010681152","45.7400016784668","43.2700004577637","40.8199996948242","40.8400001525879","40.9599990844727","41.1300010681152","41.2799987792969","41.4599990844727","41.8199996948242","42.1100006103516","42.4700012207031","",
"Albania","ALB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.5100002288818","30.4400005340576","30.75","31.1299991607666","31.6100006103516","32.3400001525879","32.310001373291","33.0400009155273","33.7999992370605","34.3699989318848","35.0200004577637","35.3800010681152","35.9199981689453","36.4300003051758","36.8499984741211","37.2200012207031","37.5","37.5699996948242","36.0099983215332","37.3199996948242","35.75","36.7299995422363","38.9199981689453","40","40.0499992370605","40.5800018310547","42.5400009155273","42.9700012207031","43.4300003051758","",
"Andorra","AND","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4479598909441","43.9847659082504","44.8656005944915","45.1065435772936","45.9231484456746","46.4603501005534","47.0801417945529","47.7609291242274","48.2613012101455","48.5886461871027","49.2933818772718","50.3292841757004","50.3408776410079","50.1312477063365","50.3214768975697","50.5194338710634","50.5669349311525","50.745561555406","51.3597050668255","51.6564684269241","52.3391074950198","52.9458060543982","53.2897459033658","53.6668277030844","54.3600132142755","54.5331722779809","54.8550042865546","55.9489584617378","56.5639852624235","",
"United Arab Emirates","ARE","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.2000007629395","58.2799987792969","58.2900009155273","58.3800010681152","58.3699989318848","58.3699989318848","58.310001373291","58.439998626709","58.6599998474121","58.7200012207031","59.2999992370605","59.9099998474121","60.0499992370605","60.1800003051758","60.2700004577637","60.0200004577637","59.8800010681152","60.0099983215332","60.4599990844727","61.1399993896484","61.7999992370605","62.2700004577637","62.75","62.9500007629395","63","63.3300018310547","63.7700004577637","63.939998626709","64.3899993896484","",
"Argentina","ARG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.75","67.2399978637695","69.8300018310547","70.9499969482422","72.2900009155273","74.2300033569336","73.6500015258789","74.3399963378906","75.5800018310547","76.5500030517578","77.1500015258789","78.8000030517578","76.8099975585938","75.8099975585938","75.4599990844727","75.2799987792969","74.9499969482422","74.7799987792969","75.5800018310547","75.3899993896484","75.3899993896484","75.7300033569336","75.4400024414063","75.2900009155273","76.0800018310547","76.9899978637695","77.5","77.9899978637695","78.0999984741211","",
"Armenia","ARM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.3199996948242","39.2099990844727","39.2799987792969","39.439998626709","39.7799987792969","40.1300010681152","40.439998626709","40.8300018310547","41.2099990844727","41.5299987792969","42.0299987792969","42.4799995422363","42.9799995422363","43.3199996948242","43.5999984741211","44.0499992370605","44.5","44.0099983215332","43.4700012207031","43.9900016784668","44.3899993896484","45.0699996948242","46.7200012207031","48.4500007629395","48.7599983215332","50.6199989318848","51.9500007629395","51.4300003051758","51.2000007629395","",
"American Samoa","ASM","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1399993896484","71.6600036621094","71.5899963378906","71.9300003051758","72.5999984741211","73.0299987792969","73.2399978637695","73.6500015258789","73.9000015258789","73.5299987792969","74.5100021362305","74.6999969482422","75.1999969482422","75.0199966430664","75.2900009155273","75.3099975585938","75.5","75.0699996948242","75.629997253418","75.7900009155273","76.3499984741211","76.4899978637695","76.9300003051758","76.9199981689453","77.9700012207031","78.0199966430664","77.9700012207031","77.5","78.379997253418","",
"Austria","AUT","Employment in services (% of total employment) (modeled ILO estimate)","SL.SRV.EMPL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.3800010681152","58.9500007629395","59.7599983215332","60.3300018310547","60.560001373291","62.2700004577637","63.4700012207031","63.9500007629395","64.0100021362305","63.9300003051758","64.8300018310547","65.3899993896484","65.5800018310547","68.370002746582","67.1500015258789","66.5899963378906","67.1500015258789","68.5100021362305","69.7099990844727","69.879997253418","69.0400009155273","69.25","69.5199966430664","69.4100036621094","69.7099990844727","70.0899963378906","71.1500015258789","70.870002746582","70.9899978637695","",
